站点,经度,纬度
CACC,-124.1843,41.7456
CAEU,-124.13611,40.80499
CMBB,-120.38604,38.03418
CRU1,-119.78481,34.02926
DOND,-119.69013,37.26425
HCRO,-121.4699,40.81592
HVYS,-119.18754,34.44123
MPWD,-118.87801,34.29551
P017,-119.93551,41.2759
P058,-124.07537,40.87631
P060,-122.41488,40.99763
P087,-116.27926,40.36321
P144,-120.89299,39.4667
P154,-120.89299,39.4667
P158,-124.10721,40.42249
P159,-124.28278,40.50479
P161,-124.21309,40.63736
P162,-124.23704,40.69109
P163,-124.05729,40.21957
P164,-123.69334,40.11926
P165,-123.85326,40.24555
P166,-123.86283,40.43518
P167,-123.88018,40.5437
P169,-123.96765,40.79114
P184,-123.70894,39.11716
P185,-123.74934,39.2613
P186,-123.51815,39.15018
P187,-123.60254,39.35248
P205,-122.96306,39.39812
P207,-122.71857,39.26004
P258,-121.28327,37.38539
P305,-120.19676,37.35221
P308,-119.8402,37.90115
P314,-123.58185,39.68566
P315,-123.7169,39.86358
P317,-123.55185,39.90567
P319,-123.29508,39.7071
P320,-123.18679,39.49283
P321,-123.39495,39.89722
P322,-123.18248,39.96214
P324,-123.65574,40.25684
P325,-123.88261,41.15167
P326,-123.69893,40.57531
P327,-123.57306,40.47886
P329,-123.45205,40.08221
P331,-123.32414,40.73291
P332,-123.1745,40.54665
P335,-122.87364,39.72619
P337,-122.8688,40.29619
P338,-122.92303,40.74755
P339,-122.66825,40.03411
P341,-122.6069,40.65066
P343,-123.33421,40.88713
P347,-120.94846,41.18334
P348,-121.828,40.90555
P349,-122.31935,40.73109
P655,-122.20632,41.29449
P657,-122.29385,41.38124
P658,-122.19091,41.47918
P663,-122.15292,41.53194
P672,-121.50694,41.71157
P674,-121.48999,41.61632
P731,-120.47276,41.33251
P784,-122.42046,41.83082
P786,-123.98079,41.84548
P793,-123.57313,40.47875
P794,-122.96376,39.84568
QCY2,-121.13735,36.16106
SKYB,-118.47863,34.43862
TRND,-124.15087,41.05389
